epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,12292.8,1.6379,1.20248,1.22844,0.71521,0.68274,0.74518,0.41602,1.81248,1.1719,1.2616,0.0079705,0.0079705,0.0079705
43,12585.3,1.63133,1.18801,1.21929,0.69115,0.7062,0.72229,0.39651,1.83177,1.17558,1.2751,0.007921,0.007921,0.007921
44,12877.7,1.62648,1.18884,1.21886,0.66413,0.69524,0.7089,0.40132,1.81568,1.1985,1.27068,0.0078715,0.0078715,0.0078715
45,13170.3,1.61234,1.15924,1.20979,0.71764,0.72339,0.7577,0.43697,1.81579,1.16356,1.27303,0.007822,0.007822,0.007822
46,13463,1.61434,1.16003,1.21259,0.67175,0.65506,0.71494,0.4145,1.81774,1.18702,1.26871,0.0077725,0.0077725,0.0077725
47,13755.6,1.60399,1.16126,1.21192,0.70247,0.73487,0.75563,0.43569,1.81467,1.17197,1.2724,0.007723,0.007723,0.007723
48,14048.4,1.59549,1.15053,1.20227,0.68532,0.72624,0.75045,0.44048,1.82237,1.17928,1.26527,0.0076735,0.0076735,0.0076735
49,14341.1,1.60355,1.1624,1.20664,0.72297,0.69373,0.7439,0.42745,1.82034,1.17483,1.27335,0.007624,0.007624,0.007624
50,14634.1,1.59048,1.14037,1.1976,0.76315,0.7284,0.77668,0.47043,1.82251,1.15608,1.27615,0.0075745,0.0075745,0.0075745
51,14926.8,1.58097,1.12496,1.19982,0.7415,0.69016,0.75978,0.42994,1.81278,1.17774,1.27507,0.007525,0.007525,0.007525
52,15219.5,1.575,1.1263,1.18802,0.77405,0.71987,0.78284,0.46845,1.81721,1.15786,1.27306,0.0074755,0.0074755,0.0074755
53,15511.9,1.586,1.13379,1.1989,0.71509,0.71558,0.76883,0.44873,1.81831,1.15968,1.27298,0.007426,0.007426,0.007426
54,15804.1,1.56745,1.10591,1.19366,0.73852,0.70406,0.77362,0.45163,1.83392,1.16611,1.28024,0.0073765,0.0073765,0.0073765
55,16096.2,1.5588,1.10786,1.19719,0.72976,0.6943,0.75733,0.4295,1.82436,1.16934,1.27532,0.007327,0.007327,0.007327
56,16388.5,1.55689,1.091,1.18654,0.7604,0.71485,0.77538,0.46505,1.83039,1.15971,1.28528,0.0072775,0.0072775,0.0072775
57,16680.7,1.55999,1.09517,1.18756,0.78165,0.70875,0.78585,0.46225,1.83015,1.17033,1.28121,0.007228,0.007228,0.007228
58,16973.3,1.53103,1.08806,1.18234,0.7815,0.71399,0.78918,0.46323,1.82697,1.15044,1.28413,0.0071785,0.0071785,0.0071785
59,17265.7,1.53329,1.07079,1.17439,0.7422,0.69684,0.76746,0.45798,1.83407,1.16559,1.28429,0.007129,0.007129,0.007129
60,17557.7,1.53895,1.06867,1.18164,0.75056,0.75815,0.80048,0.4773,1.8261,1.15117,1.27731,0.0070795,0.0070795,0.0070795
61,17850.3,1.52863,1.07019,1.17658,0.74164,0.76217,0.79098,0.47872,1.83284,1.15651,1.28578,0.00703,0.00703,0.00703
62,18142.9,1.52391,1.06031,1.17364,0.77482,0.77715,0.80494,0.48393,1.82794,1.14388,1.28774,0.0069805,0.0069805,0.0069805
63,18435.4,1.51285,1.05455,1.1718,0.75251,0.7498,0.77929,0.46912,1.83983,1.16075,1.29023,0.006931,0.006931,0.006931
64,18727.7,1.51548,1.05075,1.16948,0.778,0.74289,0.79915,0.47919,1.82352,1.15632,1.28716,0.0068815,0.0068815,0.0068815
65,19020.3,1.51339,1.05081,1.17371,0.75817,0.73074,0.77594,0.46725,1.82876,1.15224,1.29417,0.006832,0.006832,0.006832
66,19312.6,1.49874,1.02781,1.16335,0.75341,0.72582,0.78012,0.46509,1.84374,1.15258,1.29836,0.0067825,0.0067825,0.0067825
67,19604.9,1.49901,1.03363,1.16068,0.76451,0.75401,0.78852,0.47412,1.83485,1.16815,1.29541,0.006733,0.006733,0.006733
68,19897.3,1.49174,1.02999,1.1589,0.71712,0.77193,0.78331,0.47076,1.83618,1.15916,1.29932,0.0066835,0.0066835,0.0066835
69,20189.7,1.49507,1.02545,1.15866,0.73812,0.76757,0.78202,0.48599,1.84014,1.1529,1.31049,0.006634,0.006634,0.006634
70,20482.1,1.48633,1.02367,1.15395,0.75904,0.75201,0.79114,0.474,1.84021,1.15663,1.30775,0.0065845,0.0065845,0.0065845
71,20774.4,1.47645,1.00837,1.15551,0.75866,0.74891,0.79604,0.47689,1.84047,1.15833,1.29705,0.006535,0.006535,0.006535
72,21066.9,1.48344,1.02569,1.15089,0.73278,0.77481,0.7956,0.48153,1.84268,1.16089,1.30429,0.0064855,0.0064855,0.0064855
73,21358.9,1.46259,1.00435,1.14594,0.75181,0.75636,0.79069,0.48023,1.83652,1.15419,1.30497,0.006436,0.006436,0.006436
74,21651.5,1.44368,0.99243,1.14825,0.74883,0.73692,0.77521,0.47264,1.85146,1.17244,1.31095,0.0063865,0.0063865,0.0063865
75,21943.7,1.4538,0.98821,1.14917,0.8039,0.73624,0.79965,0.496,1.85147,1.17058,1.31289,0.006337,0.006337,0.006337
76,22236.5,1.4643,0.99561,1.14265,0.74372,0.75473,0.78566,0.48371,1.84392,1.16076,1.31129,0.0062875,0.0062875,0.0062875
77,22528.9,1.44186,0.98542,1.14365,0.74681,0.74033,0.77859,0.47779,1.84809,1.17364,1.3057,0.006238,0.006238,0.006238
78,22821.1,1.44245,0.98303,1.1381,0.78246,0.74943,0.79499,0.48117,1.84716,1.16866,1.31752,0.0061885,0.0061885,0.0061885
79,23113.7,1.43211,0.97791,1.13445,0.75209,0.75528,0.78937,0.46609,1.84872,1.15997,1.31688,0.006139,0.006139,0.006139
80,23406.1,1.42199,0.96086,1.12835,0.74146,0.76865,0.79993,0.48336,1.85219,1.16842,1.31851,0.0060895,0.0060895,0.0060895
81,23698.3,1.43332,0.9782,1.1388,0.75347,0.74358,0.78407,0.47317,1.84978,1.17622,1.31766,0.00604,0.00604,0.00604
82,23990.7,1.43013,0.9785,1.13097,0.76729,0.73658,0.78578,0.47978,1.8554,1.17122,1.32258,0.0059905,0.0059905,0.0059905
83,24283.1,1.4261,0.95905,1.12762,0.76056,0.737,0.78452,0.47653,1.8596,1.17695,1.32044,0.005941,0.005941,0.005941
84,24575.5,1.42943,0.97516,1.13183,0.75497,0.78388,0.79955,0.49193,1.84868,1.17121,1.31792,0.0058915,0.0058915,0.0058915
85,24867.6,1.39916,0.93541,1.12304,0.74281,0.75522,0.78013,0.48051,1.85795,1.17987,1.32903,0.005842,0.005842,0.005842
86,25159.7,1.41207,0.94615,1.12816,0.77017,0.7486,0.78225,0.48207,1.85643,1.18327,1.32368,0.0057925,0.0057925,0.0057925
87,25452,1.40235,0.94703,1.12647,0.75415,0.77711,0.7965,0.48768,1.85032,1.17643,1.32587,0.005743,0.005743,0.005743
88,25744.3,1.40479,0.94091,1.1257,0.76675,0.77348,0.79355,0.48165,1.84696,1.17001,1.32809,0.0056935,0.0056935,0.0056935
89,26036.7,1.38521,0.92783,1.10997,0.76883,0.76353,0.78857,0.47492,1.85731,1.17742,1.33201,0.005644,0.005644,0.005644
90,26329.2,1.39121,0.92964,1.11963,0.75452,0.76949,0.79099,0.48651,1.85521,1.17076,1.33409,0.0055945,0.0055945,0.0055945
91,26621.4,1.37975,0.92144,1.11478,0.7793,0.75782,0.79727,0.48562,1.8509,1.17312,1.3319,0.005545,0.005545,0.005545
